language,visibility,category_title,category_description,category_slug,subcategory_title,subcategory_description,subcategory_slug,article_title,article_excerpt,article_slug,article_body
en,public,Product & Installation,Fitment basics and installation guides and warranty info,product-installation,,,,Will this part fit my vehicle?,What we need to verify fitment for Year Make Model Trim,fitment-basics,"<p>Fitment depends on your specific vehicle. To verify compatibility, we need your <strong>Year, Make, Model, and Trim level</strong>. For lift or lowering kits, we also need your <strong>current lift height</strong> and <strong>intended use</strong> (daily driving, off-road, towing).</p><h2>Information we need</h2><ul><li>Year (e.g., 2024)</li><li>Make (e.g., Ford)</li><li>Model (e.g., F-150)</li><li>Trim/Package (e.g., XLT, Lariat, Raptor)</li><li>2WD or 4WD</li><li>Current suspension setup (stock, lifted, lowered)</li><li>Tire size you plan to run</li></ul><p><strong>Where to find your trim level:</strong> Driver's door jamb sticker, vehicle registration, or owner's manual.</p><h2>Common issues</h2><ul><li><strong>Trim matters</strong> — A base model and premium trim may have different suspension components.</li><li><strong>2WD vs 4WD</strong> — Many parts are not interchangeable between 2WD and 4WD versions.</li><li><strong>Modified vehicles</strong> — If your truck is already lifted or lowered, this affects what parts will work.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Year / Make / Model / Trim</li><li>2WD or 4WD</li><li>Current setup (stock, lifted X inches, lowered X inches)</li><li>What you're trying to achieve</li></ul>"
en,public,Product & Installation,Fitment basics and installation guides and warranty info,product-installation,,,,Where are installation instructions?,Find install guides and videos for your kit,installation-guides,"<p>Installation instructions are available on our website and from each manufacturer. Visit our Installation Instructions page or check the manufacturer's website for your specific kit.</p><h2>How to find instructions</h2><ol><li>Visit <a href='https://suspensionsuperstore.com/installation-instructions/'>suspensionsuperstore.com/installation-instructions/</a></li><li>Search by brand or part number</li><li>Download the PDF or watch video guides</li></ol><p><strong>Manufacturer resources:</strong></p><ul><li>Most kits include printed instructions in the box</li><li>Manufacturers often have video tutorials on YouTube</li><li>Search [Brand name] [Part number] install for community guides</li></ul><h2>Common issues</h2><ul><li><strong>Instructions not in box</strong> — Contact us with your order number and we'll send them.</li><li><strong>Can't find for your kit</strong> — Contact us with the part number and we'll locate them.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Part number or order number</li><li>Your vehicle Year/Make/Model</li></ul>"
en,public,Product & Installation,Fitment basics and installation guides and warranty info,product-installation,,,,How do I file a warranty claim?,Warranty is handled by manufacturers - contact info here,warranty-claims,"<p>Warranty claims are handled directly by the manufacturer, not by Suspension Superstore. Each brand has their own warranty process and contact information.</p><h2>How it works</h2><p>Contact the manufacturer directly with:</p><ul><li>Proof of purchase (your order confirmation)</li><li>Photos of the defect or issue</li><li>Description of the problem</li></ul><h2>Manufacturer warranty contacts</h2><ul><li><strong>MaxTrac</strong> — Phone: 714-630-0363 | Email: sales@maxtracsuspension.com</li><li><strong>Belltech</strong> — <a href='https://www.belltech.com/contact-us/'>belltech.com/contact-us/</a></li><li><strong>Cognito</strong> — <a href='https://cognitomotorsports.com/warranty'>cognitomotorsports.com/warranty</a></li><li><strong>IHC Suspension</strong> — <a href='https://ihcsuspension.com/warranty-claim/'>ihcsuspension.com/warranty-claim/</a></li></ul><h2>Common issues</h2><ul><li><strong>Not sure which brand</strong> — Check your order confirmation or the part itself for the manufacturer name.</li><li><strong>No response from manufacturer</strong> — Contact us and we'll help facilitate.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Brand and part number</li><li>Description and photos of the issue</li></ul>"
en,public,Product & Installation,Fitment basics and installation guides and warranty info,product-installation,,,,Do you offer military or first responder discounts?,Discounts for military and first responders,military-discount,"<p>Yes, we offer discounts for military personnel and first responders. Use code <strong>USA1</strong> at checkout to receive your discount.</p><h2>How it works</h2><ol><li>Add items to your cart</li><li>Enter code <strong>USA1</strong> at checkout</li><li>Discount will be applied to your order</li></ol><p><strong>Eligible personnel:</strong></p><ul><li>Active duty military</li><li>Veterans</li><li>Police officers</li><li>Firefighters</li><li>EMTs and paramedics</li></ul><h2>Still need help?</h2><p>Contact us if you have questions about discount eligibility.</p>"
en,public,Dealers & Wholesale,Become a dealer and tax exemption and wholesale FAQs,dealers-wholesale,,,,How do I become a dealer?,Apply for a dealer account and wholesale pricing,become-a-dealer,"<p>Fill out our dealer application form and we'll set you up within 1-2 business days. No monthly minimums or buy-ins required.</p><h2>How it works</h2><ol><li><strong>Submit dealer application</strong> — Visit the dealer application page on our website</li><li><strong>We review your application</strong> — Usually within 1-2 business days</li><li><strong>Receive confirmation</strong> — We'll email you when your account is active</li><li><strong>Start ordering</strong> — Contact us via phone, email, text, or live chat for pricing and availability</li></ol><p><strong>What you'll need:</strong></p><ul><li>Business name and contact info</li><li>Resale certificate or business license</li><li>Tax exempt certificate (if applicable)</li></ul><h2>Common issues</h2><ul><li><strong>No online portal yet</strong> — Currently, dealer orders are placed by contacting our team directly via phone, email, text, or live chat.</li><li><strong>Pricing questions</strong> — Contact us for dealer pricing on specific items.</li></ul><h2>Still need help?</h2><p>Contact us:</p><ul><li>Phone: 866-409-8673</li><li>Email: Help@accessorypartners.com</li><li>Text/SMS: 602-755-2988</li><li>WhatsApp: 602-666-9860</li></ul>"
en,public,Dealers & Wholesale,Become a dealer and tax exemption and wholesale FAQs,dealers-wholesale,,,,How do I update my tax exempt certificate?,Submit your updated tax exemption form,tax-exempt-update,"<p>Email your updated tax exempt certificate to Help@accessorypartners.com. We'll update your account within 24 hours.</p><h2>How it works</h2><ol><li><strong>Get your current certificate</strong> — Make sure it's valid for the current year</li><li><strong>Email it to us</strong> — Send to Help@accessorypartners.com with your business name in the subject line</li><li><strong>Confirmation</strong> — We'll reply when your account is updated</li></ol><p><strong>Important:</strong> Tax exempt certificates expire annually. Update yours at the start of each year to avoid delays or unexpected tax charges.</p><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Business name on your dealer account</li><li>Updated tax exempt certificate attached</li></ul>"
en,public,Dealers & Wholesale,Become a dealer and tax exemption and wholesale FAQs,dealers-wholesale,,,,Do you have a dealer portal?,How to place orders as a dealer,dealer-portal,"<p>We don't have an online dealer portal yet. Dealer orders are placed by contacting our team directly via phone, email, text, or live chat.</p><h2>How to place a dealer order</h2><ul><li><strong>Phone:</strong> 866-409-8673</li><li><strong>Email:</strong> Help@accessorypartners.com</li><li><strong>Text/SMS:</strong> 602-755-2988</li><li><strong>WhatsApp:</strong> 602-666-9860</li><li><strong>Live Chat:</strong> Available on our website</li></ul><p>Our team can provide dealer pricing, check availability, and process your order.</p><p><strong>Hours:</strong> 7:00 AM – 4:00 PM Arizona Time, Monday–Friday</p><h2>Still need help?</h2><p>Contact us using any of the methods above.</p>"
en,public,Shipping Problems,Damaged and missing or incorrect shipments,shipping-problems,,,,My order arrived damaged,Report damage and get a replacement,damaged-shipment,"<p>Contact us immediately with photos of the damage. We'll work with you to get a replacement shipped as quickly as possible.</p><h2>How it works</h2><ol><li><strong>Take photos</strong> — Document the damaged packaging AND the damaged parts before discarding anything</li><li><strong>Contact us</strong> — Email or text us with your order number and photos</li><li><strong>We file a claim</strong> — We handle the shipping claim on your behalf</li><li><strong>Replacement shipped</strong> — Once approved, we ship your replacement (often same day)</li></ol><p><strong>Important:</strong> Keep all original packaging until the claim is resolved. The carrier may need to inspect it.</p><h2>What to photograph</h2><ul><li>Outside of the shipping box (all sides showing damage)</li><li>Inside packaging</li><li>The damaged part(s)</li><li>Shipping label</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Photos of damage (packaging and parts)</li><li>Description of what's damaged</li></ul>"
en,public,Shipping Problems,Damaged and missing or incorrect shipments,shipping-problems,,,,My order is missing parts,Report missing hardware or components,missing-parts,"<p>Contact us with your order number and what's missing. We'll ship the missing parts right away.</p><h2>How it works</h2><ol><li><strong>Double-check the packaging</strong> — Sometimes small hardware bags are tucked inside larger boxes or wrapped in padding</li><li><strong>Contact us</strong> — Let us know your order number and exactly what's missing</li><li><strong>We ship replacements</strong> — Missing parts are typically shipped same or next business day</li></ol><h2>Common missing items</h2><ul><li>Hardware bags (bolts, nuts, U-bolts)</li><li>Instruction sheets</li><li>Smaller components bundled separately</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Part number of the kit</li><li>List of what's missing (be specific — e.g., missing 4 U-bolts)</li></ul>"
en,public,Shipping Problems,Damaged and missing or incorrect shipments,shipping-problems,,,,I received the wrong item,What to do if you got the wrong part,wrong-item,"<p>Contact us with your order number and photos of what you received. We'll ship the correct item and arrange return of the wrong one at no cost to you.</p><h2>How it works</h2><ol><li><strong>Contact us</strong> — Provide your order number and photos of the item you received</li><li><strong>We verify the error</strong> — We'll check what was ordered vs. what shipped</li><li><strong>Correct item shipped</strong> — We ship the right part, often same day</li><li><strong>Return the wrong item</strong> — We'll send a prepaid return label for the incorrect part</li></ol><p><strong>No fees:</strong> If we shipped the wrong item, there's no restocking fee and we cover return shipping.</p><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Photo of the item received (including part number label if visible)</li><li>What you expected to receive</li></ul>"
